airport_id,month,tavg,prcp,wspd,pres
BLV,11,8.56,0.91,8.79,1020.44
BLV,12,6.26,2.4,11.66,1019.16
BMI,1,0.16,1.93,19.1,1016.81
BMI,2,1.76,3.86,21.45,1016.99
BMI,3,4.12,4.46,22.7,1017.35
BMI,4,11.36,1.96,19.97,1014.95
BMI,5,18.25,1.85,16.71,1016.74
BMI,6,22.0,2.65,15.56,1011.99
BMI,7,23.65,3.97,12.25,1013.92
BMI,8,22.29,6.11,13.61,1014.75
BMI,9,19.5,4.59,12.67,1017.6
BMI,10,12.77,3.93,16.95,1015.95
BMI,11,5.45,0.96,17.03,1020.07
BMI,12,3.44,2.36,18.37,1018.62
BNA,1,8.75,4.03,12.63,1018.44
BNA,2,10.9,2.55,13.91,1019.28
BNA,3,11.56,2.75,13.77,1018.24
BNA,4,16.22,2.75,11.98,1016.75
BNA,5,20.75,3.7,10.4,1016.35
BNA,6,24.41,2.86,9.05,1011.39
BNA,7,26.68,4.91,8.26,1015.3
BNA,8,26.16,2.6,8.7,1014.81
BNA,9,23.21,2.06,7.44,1017.25
BNA,10,17.75,0.6,10.1,1017.1
BNA,11,11.54,1.31,9.88,1021.11
BNA,12,8.11,2.47,10.28,1021.13
BOI,1,0.79,0.58,12.15,1019.88
BOI,2,1.21,0.38,13.09,1018.67
BOI,3,3.58,2.03,16.66,1014.12
BOI,4,9.54,0.52,15.44,1015.96
BOI,5,18.25,1.18,11.79,1011.81
BOI,6,20.13,0.82,11.58,1011.66
BOI,7,27.82,0.0,10.76,1011.13
BOI,8,25.37,2.29,11.27,1012.89
BOI,9,19.81,0.38,10.93,1012.99
BOI,10,13.06,1.02,10.19,1017.25
BOI,11,5.56,1.01,9.09,1021.5
BOI,12,2.18,1.24,8.88,1023.39
BOS,1,3.36,4.29,17.2,1014.48
BOS,2,1.84,1.24,18.38,1016.63
BOS,3,4.76,3.51,20.66,1013.81
BOS,4,10.23,2.63,17.94,1017.01
BOS,5,15.66,1.85,18.19,1015.62
BOS,6,18.45,2.91,15.01,1011.13
BOS,7,23.79,8.54,14.03,1012.65
BOS,8,21.82,5.3,15.29,1012.95
BOS,9,19.51,3.18,15.43,1017.73
